TÊN TRUYỆN: Triệu Hoán Đại Ma Đầu
TÁC GIẢ: 沙蝎
------------------------------

=== Đường Hoàng Tuyền Mới Giác Tỉnh (#1) ===

Người đăng: buikhiemhtc@

Thứ 001 chương trên đường hoàng tuyền mới Giác Tỉnh 



	( tác giả lời mở đầu: nhìn kỹ mấy vạn chữ, ta bảo đảm ngươi không uổng chuyến này 
	Tất cả mọi người bốn phía vẫn duy trì khoảng chừng năm, sáu số khe hở, lấy không kém bao nhiêu  tư thái, hơi uốn lượn  thân thể, hai tay thả xuống đầu gối, mặt hướng phía trước, trôi đi.



	Đúng, là trôi đi!



	Bọn họ như là bị : được nào đó nguồn sức mạnh ràng buộc, toàn thân cứng ngắc, hai chân huyền không, đưa thân vào hiện ra điểm điểm tinh quang  màu vàng đất trong không gian, cứ như vậy hướng phía trước chầm chậm trôi đi .



	Dịch Tiểu Thất bị : được này mạc cảnh tượng sợ ngây người, hắn phát hiện mình cũng là này quỷ dị dòng người bên trong  một thành viên, thân bất do kỷ hướng phía trước di động.



	Thẳng đến lúc này, hắn mới ý thức tới chính mình căn bản cũng không cần hô hấp.



	Không cần hô hấp điều này có ý vị gì!



	Trong đầu hắn dần hiện ra Đông Tây Phương liên quan với Âm Gian địa ngục  truyền thuyết, chẳng lẽ đây chính là chết rồi đích tình cảnh?



	Chẳng biết vì sao, trong lòng hắn không có bao nhiêu sợ sệt, chỉ có kinh ngạc và hiếu kỳ.



	Không biết người này triều sẽ chảy về phía phương nào, lẽ nào bọn họ thật sẽ một lần nữa đầu thai sao?



	Nếu như người sau khi chết chính là như vậy, như vậy tử vong vẫn đúng là không có gì đáng sợ , nó mang ý nghĩa sống sót chính là một chuyến chân chính nhân sinh lữ trình.



	Lúc này hắn cảm giác mình  tay chân  tri giác khôi phục chút, liền hắn thử di động thân thể, nhưng mà chu vi vẻ này lực ước thúc rất mạnh, mặc dù muốn động động thủ chỉ đều vô cùng khó khăn.



	Thử nghiệm thất bại, hắn cũng không có gì kỳ quái, dù sao người ở bên cạnh cùng hắn không có gì không giống, nếu quả thật có thể di động, e sợ nơi này đã sớm tùm la tùm lum một mảnh.



	Cứ như vậy hắn tiếp tục hướng phía trước trôi đi, dọc theo đường đi trong lòng các loại ý nghĩ này lên đối phương rơi, hắn phát hiện mình  ký ức trước nay chưa có rõ ràng, rất nhiều khi còn bé chuyện đã xảy ra cũng rõ ràng trước mắt.



	Tử vong sau khi, đầu óc tựa hồ cũng chịu qua một lần Đại Thanh Tẩy, ngoại trừ chuyện cũ ký ức chưa phai, tư duy cũng biến thành rất sinh động.



	Chỉ là hiện nay không cách nào nhúc nhích, buồn bực ngán ngẩm  hắn hiện tại ngoại trừ hồi ức khi còn sống, duy nhất có thể làm  chính là chờ mong kiếp sau.



	Ngay ở hắn chìm đắm phía trước bụi chuyện cũ lúc, đột nhiên khóe mắt liếc về bôi đen ảnh né qua.



	Ở tất cả mọi thứ đều duy trì bất động đích tình huống dưới, bất kỳ hoạt động gì gì đó đều cực kỳ đáng chú ý.



	Dịch Tiểu Thất trong lòng hơi kinh hãi, chuyển động con ngươi bắt giữ vừa nãy  bóng đen, sau đó ánh mắt của hắn sẽ chết chết chắc ở một cái nào đó góc độ rồi.



	Hắn thấy được một cái sinh vật màu đen linh hoạt địa trườn ở trong đám người, này sinh vật màu đen dài đến trước thô sau tế, trước đoạn sinh cái tràn đầy răng nhọn  quái ngư đầu, cao chót vót khủng bố, thân thể thì lại như là rắn nước, che kín ngăm đen lóe sáng  Hắc Lân.



	Quan sát từ đằng xa này con cá não quái xà, Dịch Tiểu Thất nội tâm vô cùng kinh ngạc.



	Đây là vật gì? Nó là một loại mới vật chủng sao? Nó xuất hiện ở đây đại biểu cái gì?



	Liên quan với chết rồi, đông, Tây Phương đều có cực kỳ tỉ mỉ  miêu tả, Đông Phương có Âm Tào Địa Phủ, Tây Phương có Minh giới Luyện Ngục, không hẹn mà cùng, bên trong đều đầy rẫy các loại quỷ quái.



	Nếu như trước lúc này, có người ôn hoà Tiểu Thất đàm luận những này chuyện thần thoại xưa, hắn nhất định sẽ khịt mũi con thường, nhưng là bây giờ chính mình chánh: đang tự mình kinh nghiệm  tử vong, sự thực đặt tại trước mắt, không khỏi không tin.



	Khi hắn nội tâm đã tiếp nhận rồi sự thực này, bởi vậy khi hắn nhìn thấy con kia cá não quái xà lúc, nó không tự chủ được nghĩ đến tương tự với ‘ Địa Ngục Khuyển ’ loại hình  thần thoại quái vật, có thể con cá này não xà cũng là chúng nó trung gian  một loại.



	Nếu như mọi người chết rồi, lấy Vong Linh  trạng thái tồn tại, như vậy này chi từ Vong Linh tạo thành dòng người giống như là nếu nói bầy cừu, mà cá não xà chính là quản lý bầy cừu  Mục Dương Khuyển.



	Dịch Tiểu Thất chính là tự mình nghĩ đến điểm ấy mà hơi cảm giác đắc ý, một giây sau trên mặt hắn vẻ mặt liền cứng lại rồi.



	Giờ khắc này cá não xà chánh: đang trôi nổi ở trong đó một người trẻ tuổi  đỉnh đầu, há mồm ra, phát sinh một loại"Hồ hồ" âm thanh quái dị, người trẻ tuổi khuôn mặt nhất thời vặn vẹo, sóng gợn hóa thành một từng sợi mắt trần có thể thấy  xám trắng yên vụ, không ngừng bị : được hút vào cá não xà  trong miệng.



	Mà nam tử trẻ tuổi kia nguyên bản rõ ràng  thân thể rất nhanh sẽ bắt đầu mơ hồ. Khoảng chừng mười mấy phút sau khi, người trẻ tuổi toàn bộ biến mất không thấy.



	Dài mấy thước  cá não xà lại ‘ nuốt chửng ’ người thanh niên kia!



	Ngay ở Dịch Tiểu Thất kinh hãi không tên lúc, cá não xà vẫy một cái đuôi, bỗng dưng bơi tới bên trái một vị tuổi trẻ  bạch nhân nữ tính đỉnh đầu, cũng bắt đầu lặp lại trước  hút động tác, rất nhanh vị mỹ nữ kia bạch nhân cũng cả người biến mất rồi.



	Nhìn thấy nơi này, Dịch Tiểu Thất mới tỉnh ngộ lại đây, trước  suy đoán hoàn toàn sai lầm, con này cá não xà không phải cái gì ‘ Mục Dương Khuyển ’ mà là nuốt chửng linh hồn  ác ma!



	Vào giờ phút này, Dịch Tiểu Thất không còn kịp suy tư nữa cái này hình rắn sinh vật làm như vậy đến tột cùng là xuất phát từ mục đích gì, nhưng khẳng định là, đây tuyệt đối không bình thường.



	Theo bản năng, hắn muốn xa xa né tránh, bi ai là, hắn nhưng là không thể di động một hồi, chỉ có trơ mắt nhìn con kia cá não xà hút   một lại một cái ‘ đồng bạn ’, hơn nữa càng dựa vào càng gần.



	Hắn phát hiện, con quái vật này chuyên môn lựa người trẻ tuổi nuốt chửng, theo nuốt chửng số lượng tăng cường, nó này thân đen thui  vảy giáp nổi lên từng đạo từng đạo sợi bạc, hơn nữa bơi lội  tốc độ càng ngày càng cấp tốc rồi.



	Này chậm rãi trôi đi sóng người tuy rằng con số đông đảo, nhưng người trẻ tuổi dù sao chiếm cứ số ít, cá não xà dù cho mỗi hút một cần tiêu tốn mười mấy phút, thế nhưng chọn lựa kiếm bên dưới, chỉ sợ chẳng mấy chốc sẽ đến phiên trên đầu hắn.



	Dịch Tiểu Thất không cách nào có thể tưởng tượng, chỉ có liều mạng mà giãy dụa, cầm cố hắn sức mạnh thần bí rất mạnh mẽ, vừa bắt đầu hắn giãy dụa chỉ là phí công. Nhưng mà liền Dịch Tiểu Thất cũng không biết, theo hắn không ngừng giãy dụa, ý niệm của hắn lại càng tập trung vào thân thể, nguyên bản vẫn không nhúc nhích  lao tù từ từ có một tia buông lỏng.



	Một lát sau khi, hắn đột nhiên phát hiện tay chân của chính mình có thể nhẹ nhàng hoạt động, nội tâm ngớ ngẩn, lập tức một trận mừng như điên xông lên đầu.



	Hắn có điều lĩnh ngộ, chỉ cần mình hết sức chăm chú ở tứ chi, sẽ sản sinh một nguồn sức mạnh, có thể làm cho mình chống cự cầm cố.



	Lúc mới bắt đầu hắn rất không quen thuộc, thoáng di động tay chân đều rất mệt khó, nhưng là qua một trận, hắn là có thể lấy cực kỳ chậm rãi tốc độ sau này di động rồi.



	Bốn phía  cầm cố lực lượng để hắn dường như đưa thân vào keo đông bên trong đại dương, tất cả động tác đều vô cùng chậm rãi, có điều có thể làm được điểm ấy vẫn như cũ để hắn hân hoan nhảy nhót rồi.



	Chờ hắn bắt đầu con rùa tốc di động lúc mới phát hiện, lân cận  những này linh hồn cùng chỗ hắn cảnh tựa hồ có hơi không giống, bọn họ tất cả đều an tường địa không ngờ như thế con mắt, tựa hồ hoàn toàn không có ý thức được nguy hiểm áp sát.



	Hắn hiện tại không kịp ngẫm nghĩ nữa nguyên do, dù sao con kia cá não xà vẫn hướng hắn phương hướng này áp sát, nếu như không nghĩ biện pháp rời đi khu vực này, chờ đối phương hút đi thiếu niên tóc đen kia, cái kế tiếp liền muốn đến phiên hắn.



	Coi như hắn hiện tại đã không phải là người sống, nhưng vẫn là hi vọng mình có thể chánh: đang bình thường thường, bình an đi đầu thai, hắn cũng không muốn lưu lạc tới liền quỷ đều không làm được.



	Hắn tốc độ di động một chút ở tăng cao, tựa hồ cầm cố lực lượng đối với hắn  tác dụng ở nhỏ đi.



	Mắt thấy cự ly này nuốt chửng linh hồn  quái xà càng ngày càng xa, nhưng mà không chờ hắn yên lòng, đột nhiên, xa xa con kia vừa hút xong xuôi  cá não xà như là nhận ra được cái gì, bỗng nhiên giơ lên viên này không có con ngươi  quái : trách thủ hướng hắn phương hướng này nhìn chăm chú đến, tràn đầy răng nhọn  miệng rộng một bên đôi kia mềm tua vòi cấp tốc rung động.



	Gay go! Nó phát hiện ta!



	Dịch Tiểu Thất trong lòng vừa sinh ra cái ý niệm này, con kia cá não xà cũng đã hướng hắn phương hướng này bắn nhanh mà tới, nó lại hoàn toàn không để mắt đến chen lẫn ở trong đám người cái khác tuổi trẻ hồn thể, mục tiêu nhắm thẳng vào Dịch Tiểu Thất.



	Còn tưởng rằng thoát ly hiểm cảnh  Dịch Tiểu Thất thời khắc này phảng phất toàn thân tóc gáy đứng vững lên, hắn không biết nơi nào gây nên quái vật này  chú ý, hiện tại duy nhất có thể làm  chính là liều mạng vùng vẫy tay chân, vặn vẹo thân thể, hướng về phía sau thoát đi.



	Đáng tiếc hắn điểm ấy tốc độ hoàn toàn cùng cá não xà không được tỉ lệ thuận, mấy hơi thở trong lúc đó, quái xà đã tới gần hắn trước mặt, không thể chờ đợi được nữa Trương Khai tràn đầy gai nhọn miệng, "Hồ hồ" tiếng mãnh liệt.



	Thân ở trong đó Dịch Tiểu Thất mới phát hiện, âm thanh này cũng không phải tưởng tượng như vậy trầm thấp, mà là dị thường tiếng gào chát chúa, phảng phất trong nháy mắt có thể đem màng tai đánh nứt.



	Tại đây sắc bén tiếng hú dưới, thân thể của hắn càng sản sinh từng cơn sóng gợn, hắn cảm giác cả người phảng phất liền muốn nổ tung đi, từng trận cảm giác hôn mê kéo tới.



	Lúc này, hắn thật là là hù được hồn bay phách tán, hắn cuối cùng đã rõ ràng rồi bị : được hút  kết cục rồi.



	Đối mặt này tấm tình cảnh, hắn chỉ có liều mạng duy trì tỉnh táo, nói cũng kỳ quái, nhìn như phí công  chống cự ý nghĩ lại sinh ra lớn lao hiệu quả.



	Tinh thần hết sức tập trung lại thoáng giảm bớt vẻ này mãnh liệt gợn sóng. Có bốc hơi lên dấu hiệu, vặn vẹo biến hình  khuôn mặt cũng lần thứ hai ngưng đọng.



	Cá não xà phát hiện không cách nào nuốt chửng đối phương, có chút ngoài ý muốn méo xệch viên này cá não, chẳng những không có từ bỏ, trái lại trở nên càng thêm hưng phấn, mở cái miệng rộng, đầu lâu chớp bắn ra, một cái cắn lấy Dịch Tiểu Thất  trên bả vai, mạnh mẽ đưa hắn thân thể kéo xuống một khối đến.



	Dịch Tiểu Thất kinh ngạc bên trong cảm giác một loại khó có thể chịu đựng  đau đớn truyền đến, cơn đau đớn này không giống khi còn sống ** bị thương tổn  đau đớn, đây là một loại linh hồn  xé rách cảm giác, bất luận thương tới nơi nào đều dạy người không cách nào nhịn được, có thể nói chân chính đau thấu tim gan.



	"A --"



	Linh hồn xé rách muốn so với ** bị thương tổn khó chịu gấp trăm lần, Dịch Tiểu Thất căn bản không chịu nổi, hắn ở toàn thân run rẩy bên trong phát sinh tê tâm liệt phế gầm rú.



	Thời khắc này, sâu trong linh hồn  đau đớn để Dịch Tiểu Thất đánh mất bất kỳ năng lực hoạt động, thành đợi làm thịt cừu con.



	Đầu cá quái xà cắn nuốt Dịch Tiểu Thất khối này hồn thể sau, nó tựa hồ rất hưởng thụ, không để ý tới đối phương kêu thảm thiết, chỉ là dùng cái đuôi của nó triền trụ liễu cổ của đối phương, để ngừa Dịch Tiểu Thất ở nó tiêu hóa hồn thể mảnh vỡ  thời điểm chạy trốn.



	Ban đầu, đầu cá quái xà cơ hồ cắn nuốt mười mấy người trẻ tuổi trên người Ngân vân mới có thêm một, hai điều : con, mà lần này chỉ là cắn xé   Dịch Tiểu Thất một ít khẩu, trên người  Ngân vân càng mơ hồ thêm ra vài điều : con.



	Dịch Tiểu Thất đương nhiên sẽ không bởi vậy cảm thấy tự hào, đau nhức để hắn kêu thảm, thậm chí so với quái xà phát ra âm thanh càng sắc bén.



	Một lát, Dịch Tiểu Thất mới từ sự đau khổ này bên trong khôi phục, thần trí chậm rãi tỉnh táo.



	"Lão tử chết cũng muốn cắn trở về!" Dịch Tiểu Thất quyết tâm mạnh mẽ, liều mạng, hai tay nắm lên vây quanh ở trên cổ  cái kia tế đuôi dùng hết sức lực toàn thân cắn.



	Không nghĩ tới quái xà  thân thể so với hắn tưởng tượng  muốn cứng cỏi, hắn này một cắn liền da cũng không cắn thủng, đối với quái xà tới nói căn bản không quan hệ đau khổ,



	Lúc này, này cá não xà cũng đã tiêu hóa xong hồn thể, lần thứ hai Trương Khai tham lam miệng rộng.



	Quái vật viên này dữ tợn đầu cá gần trong gang tấc, che kín hình bát giác cốt hãm hại  đầu dường như hắc thiết rèn đúc, miệng rộng bên trong hai hàng tỉ mỉ  trắng như tuyết thép xỉ rõ ràng trước mắt.



	"Thảo ngươi lão Mục!" Dịch Tiểu Thất vừa giận vừa sợ, hắn không dám tưởng tượng chính mình lại muốn kinh nghiệm một lần loại kia xé rách  đau đớn, hoảng sợ để hắn trở nên điên cuồng, theo bản năng cắn quái xà đuôi không buông.



	Hắn tuy rằng không thể cắn phá quái xà  thân thể, thế nhưng một luồng vô cùng to lớn  khí tức nhưng tràn vào hắn trong cổ họng, cũng cùng hắn thân thể dung hợp.



	Cá não xà cảm nhận được hồn thể bị hao tổn cũng vô cùng bất ngờ, chính mình  con mồi lại còn có thể phản kháng, điều này làm cho nó rất tức giận, có điều điểm ấy tổn thất nó đối với hắn cường hãn  bản thể mà nói không tạo thành được uy hiếp, bởi vậy không thêm để ý tới, tiếp tục hướng đối phương cắn xé quá khứ.



	Song phương căn bản không ở cùng cái cấp độ mặt trên, lần thứ hai chịu đựng linh hồn xé rách Dịch Tiểu Thất tuyệt đối muốn đánh mất lực phản kích.



	Những thứ này đều là chớp mắt chuyện đã xảy ra.



	Ngay ở quái xà lần thứ hai cắn tới Dịch Tiểu Thất  trong nháy mắt, phía sau một cái bạch quang đột nhiên bắn đến, hô địa một tiếng, cùng cá não xà quấn quýt lấy nhau.



	Tới dĩ nhiên lại là một con cá não xà, chỉ có điều này quái xà toàn thân vảy đã toàn bộ hiện ra trắng bạc, cái đầu cũng so với cuốn lấy Dịch Tiểu Thất  cái kia lớn hơn một vòng.



	Hai cái cá não xà va chạm đồng thời, lập tức lẫn nhau cắn xé, hai tấm miệng rộng cắn lấy đồng thời, răng nhọn đan xen, trong cổ họng lăn xám trắng  yên vụ, chúng nó càng lẫn nhau hút lên lẫn nhau  hồn tức.



	Rõ ràng, Ngân lân nắm giữ so với Hắc Lân sức mạnh mạnh hơn, giao chiến thời khắc, Hắc Lân cá não xà liền ở hạ phong, này thân pha thêm Ngân vân  màu đen thân thể bắt đầu kịch liệt bắt đầu dập dờn.



	Hắc Lân cá não xà tựa hồ đối với này trắng bạc cá não xà vô cùng sợ hãi, nếu như ở bình thường, nó cảm ứng được đối phương đã sớm tránh ra thật xa  , nhưng là trước nó toàn bộ tinh thần đều đưa lên ở Dịch Tiểu Thất trên người, lại không có chú ý tới Sát Thần áp sát, bây giờ muốn chạy trốn đã muộn, chỉ có liều chết.

      

          +++++++++++++++++++++++++ +++++++++++++++++++++++++



         Cầu vote 9-10 dưới mỗi chương truyện!!! Có sai sót gì thì mọi người comment góp ý nhé!!!!



         Mọi người ủng hộ kim nguyên đậu thì mình sẽ cố gắng đáp lại bằng việc bạo nhiều chương hơn nhé!!! Cảm ơn đã ủng hộ !!!!



           +++++++++++++++++++++++++++++++++++++++.

==================================================

=== Đệ 002 chương ngô chỉ cái thớt gỗ ngươi vi cá (#2) ===

Người đăng: buikhiemhtc@

Dịch tiểu thất cũng bị đột nhiên xuất hiện đích ngân bạch cá lô xà hoảng sợ, này chỉ cá lô xà rõ ràng càng thêm lợi hại, bất quá hắn hiểu được dù sao đã biết lần chạy trời không khỏi nắng, rõ ràng đánh mất chạy trốn đích ý niệm trong đầu, chỉ là một kính hấp thụ kia tràn đầy miệng đầy biên đích nồng đậm hơi thở.

	Dịch tiểu thất cũng không biết hắn này vô ý thức đích hành động vừa lúc cân bằng  hai cái cá lô xà đích lực lượng.



	Này hai cái cá lô xà tuy rằng lực lượng trình tự bất đồng, nhưng đều cụ bị đọng lại hồn thể đích pháp khu, lẫn nhau đều cắn xé bất động đối phương pháp khu, bởi vậy chỉ có thông qua hấp thụ đối phương hồn tức đến thôn tính đối phương.



	Hồn tức hấp lực mạnh yếu quyết định lẫn nhau thắng bại.



	Nếu ở bình thường, ngân bạch cá lô xà nhất định sẽ ở lần này đánh giá trung chiếm cứ thượng phong, nó hội từng bước tằm ăn lên rụng hắc lân quái xà, cuối cùng lệnh này pháp thân hỏng mất.



	Nhưng mà hiện tại hơn dịch tiểu thất này chuyện xấu, tình huống liền trở nên không rõ lãng đứng lên.



	Dịch tiểu thất cũng không biết hồn thể tính chất đặc biệt, giống như là song phương các trì hút trông nom  một mặt, khi hắn hút hắc lân cá lô xà hồn tức đích đồng thời cũng biến thành cấp trận này hồn tức tranh đoạt tăng thêm lợi thế.



	Ngân bạch cá lô xà cùng hắc lân cá lô xà lập tức trở nên thế lực ngang nhau đứng lên.



	Hắc lân cá lô xà trở nên sinh mãnh vô cùng, điều này làm cho ngân bạch cá lô xà rất là khó hiểu, bất quá bằng nó đích trí tuệ làm sao hiểu biết rất nhiều, nó chỉ biết là hắc lân là so với nó đê giai đích tồn tại, điều này làm cho nó không cam lòng buông tha cho.



	Đuổi dần, dũng hướng dịch tiểu thất đích hồn tức càng ngày càng nhiều, mênh mông đích lực lượng tràn ngập thân thể các nơi, hắn ý thức giống như càng ngày càng ngưng tụ, thôn tính cũng trở nên càng lúc càng nhanh.



	Cũng không lâu lắm, ngày bình kiếp mã đã hoàn toàn khuynh hướng dịch tiểu thất bên này, ngân bạch cá lô xà nguyên bản đọng lại đích thân hình sinh ra thật lớn sóng gợn, bắt đầu có tan rả đích dấu hiệu, giờ phút này bắt đầu sợ hãi đích nó đã muốn không có biện pháp thoát thân .



	Hắc lân cá lô xà phát hiện điểm ấy, hút đích càng thêm vui, nhưng mà nó cũng không có ý thức được không gián đoạn hút cũng không có làm cho nó đích pháp thân có gì tăng trưởng dấu hiệu.



	Trải qua dài dòng giằng co, ngân bạch cá lô xà rốt cục pháp thể hỏng mất, hóa thành một chùm xám trắng hơi thở, bị hắc lân cá lô xà hút không còn.



	Hắc lân cá lô xà chiến thắng cao nó nhất giai đích tồn tại, có vẻ cực kỳ hưng phấn, đang định quay đầu lại thôn tính rụng trong tay một người con mồi, nhưng mà không đợi nó quay đầu, hồn thể hơi thở rồi đột nhiên hướng tới phần đuôi lớn lượng trôi qua.



	Này đùi hung mãnh vô cùng đích hấp lực xa so với phía trước cùng ngân bạch cá lô xà đánh giá khi phải đáng sợ hơn, không đợi nó hiểu được là chuyện gì xảy ra, kia giống như sắt thép chú liền đích pháp thân liền giống nước sôi bàn sôi trào lên, tiếp theo toàn bộ thân hình băng ly tán loạn.



	Phía trước còn làm cho dịch tiểu thất thống khổ đích hắc lân cá lô xà bị dịch tiểu thất như là lớn nuốt trôi thủy, thoải mái vô cùng đích hút sạch sẽ, đáng thương hắn còn không biết ra cái gì trạng huống, vẫn như cũ vẫn duy trì cái kia nhe răng trợn mắt đích hung ác trạng thái.



	Ách!



	Sao lại thế này? Tôi vừa rồi nuốt lấy kia quỷ đồ vật này nọ?



	Dịch tiểu thất qua sau một lúc lâu mới hồi phục tinh thần lại, mờ mịt chung quanh, bên người trừ bỏ đủ đủ huyền phù đích nhân loại hồn thể, làm sao còn có cá lô xà đích tung tích.



	Như thế nào cảm giác phải sống lại  giống  nhau? Thân thể cũng hoạt động tự nhiên !



	Hắn hoa động thủ chân, co duỗi năm ngón tay. Nguyên bản giam cầm trên người đích cái loại này lực lượng thần bí đã muốn đạm không thể kế.



	Mặt khác, hắn cảm giác ý thức của mình thể trở nên quá mức đích cường đại, giống như thoáng ngưng tụ tâm lực có thể đem loại này vô hình đích ý thức phóng xuất ra đi bình thường.



	Tràn ngập trong cơ thể đích hồn lực làm cho dịch tiểu thất như là đánh kê huyết bình thường, giống như nơi phát ra vu viễn cổ hoang dã đích nào đó ý thức làm cho hắn sinh ra muốn thôn tính hết thảy đích xúc động.



	Hảo cảm giác kỳ quái...



	Dịch tiểu thất không biết phát sinh ở trên người mình đích tình huống ý vị như thế nào, chẳng qua loại cảm giác này gây cho hắn cực kỳ thoải mái đích tư vị.



	Ở không có nắm giữ loại này không biết năng lực phía trước, hắn không dám tùy tiện nếm thử. Bất quá, ở theo bản năng muốn hiểu biết chính mình trạng huống đích tình cảnh hạ, hắn nhưng lại ngoài ý muốn ‘ quan khán ’ đến trong cơ thể đích biến hóa.



	Giống như là phóng tới kính hiển vi hạ phân tích, hắn ‘ thấy ’ trong cơ thể hỗn độn một mảnh, tựa hồ cái gì cũng không có, nhưng ở hắn cường đại đích ý thức thể chăm chú nhìn hạ, trong cơ thể che kín  sương mù bàn đích hơi thở, này đó cổ quái hơi thở các theo nhất phương, có chút nghiễm nhiên cô đọng thành giống như thân thể khí quan đích vật thể, chính là chúng nó vẫn là quá yếu ớt, thoạt nhìn hình dáng mơ hồ, một số gần như trong suốt.



	Đây là chính mình trước mắt thân thể đích trạng thái sao? Không có ngũ tạng lục phủ, không có huyết nhục gân cốt, chỉ có này không rõ khí vụ...



	Thoáng thất thần, lập tức liền theo loại này huyền diệu đích nội thị trung lui đi ra.



	Đối với phát sinh ở trên người đích hết thảy, dịch tiểu thất có loại hoảng hốt cảm, nguyên vốn tưởng rằng tử vong chính là hết thảy đích mất đi, hiện tại thoạt nhìn hắn hay là hắn, chính là thay đổi một loại tồn tại phương thức.



	Hắn liệt  nhếch miệng, quỷ dị địa cười cười, tay chân ngăn, đột nhiên hướng phía trên bơi đi, hắn hôm nay không chỗ nào sợ hãi.



	Hắn linh hoạt giống như là một đuôi cá, một lát liền thăng lên hơn mười thước cao, cúi đầu nhìn lại.



	Phóng nhãn chứng kiến,thấy, cứ việc có chuẩn bị tâm lý đích dịch tiểu thất vẫn như cũ bị trước mắt một màn cấp rung động  một chút.



	Dưới nầy nhân loại vong linh tạo thành đích sông ngòi cư nhiên có vài trăm thước chi khoan, cao thấp còn phân  rất nhiều tầng, cơ hồ chính là nhân loại sở hữu chủng tộc, muôn hình muôn vẻ đích nhân chủng vẫn duy trì đồng dạng tư thế, theo đại đội thong thả trôi đi.



	Về phần đám đông tiền phương lại vọng không đến đầu, cùng mắt trong lúc đó, khúc chiết uốn lượn, cũng không biết bọn họ chung quy hội đến làm sao.



